\\AlterationOnSample\\CNV\\LOH\\;ID_133;LOH;;2018-11-21 14:02:02.027684;2018-11-21 14:02:02.027688;2018-11-21 14:02:02.027690;TEST_OSIRIS;None
\\AlterationOnSample\\Fusion\\;ID_134;Fusion;;2018-11-21 14:02:02.027750;2018-11-21 14:02:02.027753;2018-11-21 14:02:02.027755;TEST_OSIRIS;None
\\AlterationOnSample\\Fusion\\Type\\;ID_135;Type;;2018-11-21 14:02:02.027795;2018-11-21 14:02:02.027798;2018-11-21 14:02:02.027800;TEST_OSIRIS;None
\\AlterationOnSample\\Fusion\\Point5prime\\;ID_136;Point5prime;;2018-11-21 14:02:02.027850;2018-11-21 14:02:02.027853;2018-11-21 14:02:02.027855;TEST_OSIRIS;None
\\AlterationOnSample\\Fusion\\Point3prime\\;ID_137;Point3prime;;2018-11-21 14:02:02.027904;2018-11-21 14:02:02.027907;2018-11-21 14:02:02.027909;TEST_OSIRIS;None
\\AlterationOnSample\\Fusion\\InFrame\\;ID_138;InFrame;;2018-11-21 14:02:02.027958;2018-11-21 14:02:02.027961;2018-11-21 14:02:02.027964;TEST_OSIRIS;None
\\AlterationOnSample\\Fusion\\NbSpanningPair\\;ID_139;NbSpanningPair;;2018-11-21 14:02:02.028017;2018-11-21 14:02:02.028020;2018-11-21 14:02:02.028023;TEST_OSIRIS;None
\\AlterationOnSample\\Fusion\\NbSplitReads\\;ID_140;NbSplitReads;;2018-11-21 14:02:02.028074;2018-11-21 14:02:02.028077;2018-11-21 14:02:02.028079;TEST_OSIRIS;None
\\AlterationOnSample\\Expression\\;ID_141;Expression;;2018-11-21 14:02:02.028138;2018-11-21 14:02:02.028141;2018-11-21 14:02:02.028144;TEST_OSIRIS;None
\\AlterationOnSample\\Expression\\GenomeEntity\\;ID_142;GenomeEntity;;2018-11-21 14:02:02.028183;2018-11-21 14:02:02.028186;2018-11-21 14:02:02.028189;TEST_OSIRIS;None
\\AlterationOnSample\\Expression\\GenomeEntity\\Type\\;ID_143;Type;;2018-11-21 14:02:02.028233;2018-11-21 14:02:02.028236;2018-11-21 14:02:02.028239;TEST_OSIRIS;None
\\AlterationOnSample\\Expression\\GenomeEntity\\Database\\;ID_144;Database;;2018-11-21 14:02:02.028289;2018-11-21 14:02:02.028292;2018-11-21 14:02:02.028295;TEST_OSIRIS;None
\\AlterationOnSample\\Expression\\GenomeEntity\\Id\\;ID_145;Id;;2018-11-21 14:02:02.028345;2018-11-21 14:02:02.028348;2018-11-21 14:02:02.028350;TEST_OSIRIS;None
\\AlterationOnSample\\Expression\\GenomeEntity\\Symbol\\;ID_146;Symbol;;2018-11-21 14:02:02.028401;2018-11-21 14:02:02.028404;2018-11-21 14:02:02.028406;TEST_OSIRIS;None
\\AlterationOnSample\\Expression\\GeneDataType\\;ID_147;GeneDataType;;2018-11-21 14:02:02.028467;2018-11-21 14:02:02.028469;2018-11-21 14:02:02.028472;TEST_OSIRIS;None
\\AlterationOnSample\\Expression\\GeneValue\\;ID_148;GeneValue;;2018-11-21 14:02:02.028541;2018-11-21 14:02:02.028545;2018-11-21 14:02:02.028548;TEST_OSIRIS;None
\\Pathogenicity\\;ID_150;Pathogenicity;;2018-11-21 14:02:02.028698;2018-11-21 14:02:02.028701;2018-11-21 14:02:02.028704;TEST_OSIRIS;None
\\Actionability\\;ID_151;Actionability;;2018-11-21 14:02:02.028774;2018-11-21 14:02:02.028777;2018-11-21 14:02:02.028780;TEST_OSIRIS;None
\\ProposedForOrientation\\;ID_152;ProposedForOrientation;;2018-11-21 14:02:02.028848;2018-11-21 14:02:02.028851;2018-11-21 14:02:02.028853;TEST_OSIRIS;None
\\Variant\\;ID_153;Variant;;2018-11-21 14:02:02.028920;2018-11-21 14:02:02.028923;2018-11-21 14:02:02.028925;TEST_OSIRIS;None
\\Variant\\Alteration\\;ID_154;Alteration;;2018-11-21 14:02:02.028955;2018-11-21 14:02:02.028957;2018-11-21 14:02:02.028960;TEST_OSIRIS;None
\\Variant\\Alteration\\Chromosome\\;ID_155;Chromosome;;2018-11-21 14:02:02.029001;2018-11-21 14:02:02.029004;2018-11-21 14:02:02.029006;TEST_OSIRIS;None
\\Variant\\Alteration\\GenomicStart\\;ID_156;GenomicStart;;2018-11-21 14:02:02.029057;2018-11-21 14:02:02.029060;2018-11-21 14:02:02.029062;TEST_OSIRIS;None
\\Variant\\Alteration\\GenomicStop\\;ID_157;GenomicStop;;2018-11-21 14:02:02.029112;2018-11-21 14:02:02.029115;2018-11-21 14:02:02.029120;TEST_OSIRIS;None
\\Variant\\Alteration\\GenomeBuild\\;ID_158;GenomeBuild;;2018-11-21 14:02:02.029171;2018-11-21 14:02:02.029174;2018-11-21 14:02:02.029176;TEST_OSIRIS;None
\\Variant\\Alteration\\Cytoband\\;ID_159;Cytoband;;2018-11-21 14:02:02.029235;2018-11-21 14:02:02.029238;2018-11-21 14:02:02.029240;TEST_OSIRIS;None
\\Variant\\ReferenceAllele\\;ID_160;ReferenceAllele;;2018-11-21 14:02:02.029300;2018-11-21 14:02:02.029304;2018-11-21 14:02:02.029306;TEST_OSIRIS;None
\\Variant\\AlternativeAllele\\;ID_161;AlternativeAllele;;2018-11-21 14:02:02.029355;2018-11-21 14:02:02.029358;2018-11-21 14:02:02.029361;TEST_OSIRIS;None
\\Variant\\DNASequenceVariationType\\;ID_162;DNASequenceVariationType;;2018-11-21 14:02:02.029411;2018-11-21 14:02:02.029414;2018-11-21 14:02:02.029416;TEST_OSIRIS;None
